,brand_name,screen_size_cm,screen_size_inch,resolution,screen_type,price,ratings,no_of_ratings,reviews,launch_year
344,Thomson,100,40,Full HD,LED,14499,4.2,126694,21850,2023
345,Samsung,80,32,HD Ready,LED,13990,4.2,104133,6444,2025
346,Coocaa,108,43,Full HD,LED,13499,4.2,25833,2989,2025
347,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
348,Foxsky,109,43,Full HD,LED,12499,4.2,8820,2025,2023
349,iFFALCON,80,32,HD Ready,LED,8999,4.2,2709,190,2025
350,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
351,XIAOMI,80,32,HD Ready,LED,11999,4.2,96782,6489,2024
352,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.1,11449,2821,2023
353,XIAOMI,108,43,Full HD,LED,21999,4.1,96782,6489,2025
354,Acer,80.01,32,HD Ready,LED,10999,4.2,9955,939,2024
355,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
356,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
357,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.1,4095,1162,2024
358,Thomson,126,50,Ultra HD (4K),LED,23999,4.1,40692,9599,2023
359,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.3,2731,247,2025
360,Foxsky,80,32,HD Ready,QLED,7499,4.3,4095,1162,2024
361,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
362,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
363,Infinix,80,32,HD Ready,LED,7999,4.1,58660,5830,2024
364,InnoQ,60,24,HD Ready,LED,4990,4.1,8565,937,2024
365,Coocaa,80,32,HD Ready,LED,7999,3.9,25833,2989,2024
366,realme,80,32,HD Ready,QLED,9499,4.3,9053,686,2025
367,Foxsky,60,24,HD Ready,LED,5499,4.5,8820,2025,2025
368,Thomson,100,40,Full HD,LED,14499,4.3,126694,21850,2023
369,Samsung,80,32,HD Ready,LED,13990,3.9,104133,6444,2025
370,Coocaa,108,43,Full HD,LED,13499,4.1,25833,2989,2025
371,HUIDI,60,24,HD Ready,LED,4499,4.2,8820,900,2024
372,Foxsky,109,43,Full HD,LED,12499,4.2,8820,2025,2023
373,iFFALCON,80,32,HD Ready,LED,8999,4.4,2709,190,2025
374,Acer,108,43,Ultra HD (4K),LED,21999,4.2,9955,939,2024
375,XIAOMI,80,32,HD Ready,LED,11999,4.3,96782,6489,2024
376,Blaupunkt,108,43,Ultra HD (4K),QLED,20499,4.2,11449,2821,2023
377,XIAOMI,108,43,Full HD,LED,21999,4.2,96782,6489,2025
378,Acer,80.01,32,HD Ready,LED,10999,4.3,9955,939,2024
379,Foxsky,80,32,HD Ready,LED,6999,4.2,8820,2025,2023
380,Thomson,60,24,HD Ready,QLEDQLED,5999,4.2,2629,397,2025
381,Foxsky,109,43,Ultra HD (4K),QLED,16999,4.4,4095,1162,2024
382,Thomson,126,50,Ultra HD (4K),LED,23999,4.2,40692,9599,2023
383,iFFALCON,108,43,Ultra HD (4K),LED,19999,4.2,2731,247,2025
384,Foxsky,80,32,HD Ready,QLED,7499,4.2,4095,1162,2024
385,Thomson,80,32,HD Ready,LED,6999,4.2,30898,4899,2025
386,realme,109,43,Ultra HD (4K),QLED,19999,4.2,2515,279,2025
387,Infinix,80,32,HD Ready,LED,7999,4.2,58660,5830,2024
388,InnoQ,60,24,HD Ready,LED,4990,4.2,8565,937,2024
